device_id,temperature,humidity,status
4,22.18,71.64,OK
2,21.15,47.18,OK
3,20.73,73.18,ERROR
1,16.48,47.65,OK
4,28.19,73.46,OK
3,33.79,79.45,OK
5,30.19,33.51,ERROR
4,24.13,37.12,OK
2,31.8,71.62,OK
4,34.91,55.16,OK
4,25.34,33.58,OK
4,18.44,43.04,OK
3,30.52,38.74,OK
2,31.01,45.82,OK
1,17.01,47.53,OK
5,24.5,79.89,OK
5,20.42,62.17,ERROR
4,27.88,68.97,OK
1,22.01,79.5,OK
1,27.82,67.07,OK
1,24.75,35.16,OK
1,30.98,43.86,OK
2,18.53,57.66,OK
4,23.18,33.57,ERROR
4,28.18,64.95,OK
3,30.47,75.78,OK
2,29.61,78.86,OK
5,24.44,72.72,OK
3,32.06,62.56,OK
1,28.2,37.66,OK
1,29.92,34.14,OK
4,15.96,73.96,OK
3,20.89,48.71,OK
2,28.92,42.21,OK
1,27.59,79.28,OK
5,19.49,73.75,OK
3,24.88,52.88,OK
3,26.82,77.27,OK
5,34.74,69.28,OK
5,24.58,45.62,OK
3,33.43,58.01,OK
5,31.71,74.82,OK
3,17.57,63.26,OK
3,25.61,55.21,OK
3,15.95,78.85,OK
1,30.3,64.61,OK
1,30.06,79.59,OK
1,32.6,34.24,OK
3,15.88,42.82,OK
5,33.49,75.93,OK
4,20.17,30.39,OK
4,15.18,30.31,OK
2,17.19,65.96,OK
2,21.37,59.53,OK
5,29.46,62.3,OK
4,30.94,49.98,OK
4,32.52,62.58,OK
3,32.76,37.19,OK
2,18.35,33.24,OK
5,27.91,46.35,OK
2,17.33,51.24,OK
4,16.98,32.87,OK
2,33.26,67.75,OK
3,27.38,34.67,OK
3,34.06,77.01,OK
4,34.32,52.74,OK
3,25.3,50.4,OK
1,34.9,63.42,OK
1,31.29,64.45,OK
1,26.37,50.44,OK
2,26.07,44.71,OK
2,30.02,47.36,OK
2,23.01,55.89,OK
3,21.58,74.76,OK
5,22.37,70.22,OK
3,30.06,61.96,OK
4,24.43,79.85,OK
5,18.96,35.88,OK
1,28.79,36.03,OK
4,28.81,41.6,OK
2,32.88,47.63,OK
4,17.22,78.99,OK
3,23.6,55.89,OK
2,20.97,71.91,OK
5,29.35,78.09,OK
5,23.08,50.17,OK
1,20.04,73.24,OK
2,21.88,36.7,ERROR
4,16.94,31.81,OK
3,21.13,47.01,OK
5,28.9,43.08,ERROR
4,31.97,40.46,OK
2,15.39,55.09,OK
2,29.29,44.77,OK
4,18.37,42.84,ERROR
3,22.33,46.67,OK
4,28.84,78.94,OK
1,19.61,30.45,OK
4,18.94,56.32,OK
